Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.70      0.56     0.01     8761     0.00     0.00  std::_Rb_tree_node<Edge*>* std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_copy<std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_Alloc_node>(std::_Rb_tree_node<Edge*> const*, std::_Rb_tree_node_base*, std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_Alloc_node&)
  1.70      0.57     0.01      300     0.03     0.05  basesolution::rm_old_result(long long)
  1.70      0.58     0.01        2     5.00     5.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::new_allocator()
  0.85      0.58     0.01   905154     0.00     0.00  __gnu_cxx::__aligned_membuf<Edge*>::_M_ptr()
  0.85      0.59     0.01   243538     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > >, std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::lower_bound(int const&)
  0.85      0.59     0.01      562     0.01     0.01  void std::allocator_traits<std::allocator<Edge*> >::destroy<Edge*>(std::allocator<Edge*>&, Edge**)
  0.00      0.59     0.00  5457861     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      0.59     0.00  5137062     0.00     0.00  basesolution::snapshot_size()
  0.00      0.59     0.00  4695561     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      0.59     0.00  4695561     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr() const
  0.00      0.59     0.00  4521160     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  0.00      0.59     0.00  2554321     0.00     0.00  __gnu_cxx::__aligned_membuf<Edge*>::_M_addr() const
  0.00      0.59     0.00  2554321     0.00     0.00  std::_Rb_tree_node<Edge*>::_M_valptr() const
  0.00      0.59     0.00  2425248     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.59     0.00  1822104     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.59     0.00  1810308     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_get_Node_allocator()
  0.00      0.59     0.00  1780595     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.59     0.00  1754418     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.59     0.00  1538173     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.59     0.00  1382880     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.59     0.00   905154     0.00     0.00  std::_Rb_tree_node<Edge*>::_M_valptr()
  0.00      0.59     0.00   854855     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::end()
  0.00      0.59     0.00   822736     0.00     0.00  __gnu_cxx::__normal_iterator<Edge**, std::vector<Edge*, std::allocator<Edge*> > >::base() const
  0.00      0.59     0.00   810642     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_end()
  0.00      0.59     0.00   766651     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.59     0.00   697604     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.59     0.00   657772     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.59     0.00   640239     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.00      0.59     0.00   640237     0.00     0.00  std::operator!=(std::_Rb_tree_const_iterator<int> const&, std::_Rb_tree_const_iterator<int> const&)
  0.00      0.59     0.00   636241     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<int> const&)
  0.00      0.59     0.00   550761     0.00     0.00  std::operator==(std::_Rb_tree_iterator<int> const&, std::_Rb_tree_iterator<int> const&)
  0.00      0.59     0.00   536686     0.00     0.00  std::_Rb_tree_iterator<Edge*>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.59     0.00   520144     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator--()
  0.00      0.59     0.00   519492     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.59     0.00   507626     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::_M_ptr()
  0.00      0.59     0.00   507626     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::_M_addr()
  0.00      0.59     0.00   507626     0.00     0.00  std::_Rb_tree_node<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::_M_valptr()
  0.00      0.59     0.00   497584     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >::operator*() const
  0.00      0.59     0.00   493387     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_end()
  0.00      0.59     0.00   469832     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00      0.59     0.00   467643     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.59     0.00   465836     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::end() const
  0.00      0.59     0.00   465836     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::end() const
  0.00      0.59     0.00   461840     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::find(int const&)
  0.00      0.59     0.00   461840     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, int const&)
  0.00      0.59     0.00   452577     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<Edge*> >::deallocate(std::_Rb_tree_node<Edge*>*, unsigned long)
  0.00      0.59     0.00   452577     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<Edge*> >::destroy<Edge*>(Edge**)
  0.00      0.59     0.00   452577     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<Edge*> >::allocate(unsigned long, void const*)
  0.00      0.59     0.00   452577     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<Edge*> >::construct<Edge*, Edge* const&>(Edge**, Edge* const&)
  0.00      0.59     0.00   452577     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<Edge*> >::max_size() const
  0.00      0.59     0.00   452577     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<Edge*> > >::deallocate(std::allocator<std::_Rb_tree_node<Edge*> >&, std::_Rb_tree_node<Edge*>*, unsigned long)
  0.00      0.59     0.00   452577     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<Edge*> > >::destroy<Edge*>(std::allocator<std::_Rb_tree_node<Edge*> >&, Edge**)
